Location,Site,Salinity,Turbid_Level1,Turbid_Level,Sal_Turb,Turbid_Level1,Turbidiy,Date,Bottle,Plate,Time_point,Time_day,Volume_mL,Raw_Count,Staph_CFU_100mL
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,5,t0,0,5,59,1180
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,6,t0,0,5,217,4340
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,1,t0,0,5,59,1180
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,2,t0,0,5,44,880
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,3,t0,0,5,39,780
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,5,t0,0,5,46,920
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,6,t0,0,5,19,380
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,1,t0,0,5,25,500
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,2,t0,0,5,28,560
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,3,t0,0,5,32,640
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,4,t0,0,5,113,2260
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,5,t0,0,5,44,880
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,3,6,t0,0,5,166,3320
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,1,1,t0,0,5,78,1560
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/14/22,2,4,t0,0,5,54,1080
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,2,t0,0,5,30,600
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,3,t0,0,5,17,340
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,4,t0,0,5,21,420
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,5,t0,0,5,21,420
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,6,t0,0,5,17,340
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,1,t0,0,5,34,680
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,2,t0,0,5,33,660
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,3,t0,0,5,15,300
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,1,1,t0,0,5,21,420
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,5,t0,0,5,26,520
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,6,t0,0,5,25,500
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,1,t0,0,5,7,140
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,2,t0,0,5,15,300
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,3,t0,0,5,24,480
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,4,t0,0,5,14,280
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,5,t0,0,5,46,920
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,3,6,t0,0,5,16,320
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/14/22,2,4,t0,0,5,28,560
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,1,t1,0.5,1,21,2100
